Service Name,File Path,Lines of Code,Category,Primary Functionality,Widget Dependencies,Quality Score,Integration Target,Risk Level,Rationale
"TransportController","CorePlaybackEngine/controllers/TransportController.ts",139,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"CorePlaybackEngine","CorePlaybackEngine/CorePlaybackEngine.ts",593,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AudioSourceManager","CorePlaybackEngine/managers/AudioSourceManager.ts",147,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"EventManager","CorePlaybackEngine/managers/EventManager.ts",73,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"StateManager","CorePlaybackEngine/managers/StateManager.ts",157,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ToneManager","CorePlaybackEngine/managers/ToneManager.ts",177,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"DeviceInfoService","DeviceInfoService.ts",190,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AudioContextError","errors/AudioContextError.ts",301,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"base","errors/base.ts",274,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"CircuitBreaker","errors/CircuitBreaker.ts",389,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ErrorClassifier","errors/ErrorClassifier.ts",355,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ErrorRecovery","errors/ErrorRecovery.ts",731,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ErrorReporter","errors/ErrorReporter.ts",67,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"GracefulDegradation","errors/GracefulDegradation.ts",842,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MobileError","errors/MobileError.ts",54,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"NetworkError","errors/NetworkError.ts",55,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PerformanceError","errors/PerformanceError.ts",250,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ResourceError","errors/ResourceError.ts",187,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"typeGuards","errors/typeGuards.ts",64,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ValidationError","errors/ValidationError.ts",55,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ExerciseTimelineAdapter","ExerciseTimelineAdapter.ts",284,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ExerciseTimelineIntegrator","ExerciseTimelineIntegrator.ts",359,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"GarbageCollectionOptimizer","GarbageCollectionOptimizer.ts",608,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"HybridDrumSampleManager","HybridDrumSampleManager.ts",392,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"initializeAudio","initializeAudio.ts",39,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"IntelligentTempoController","IntelligentTempoController.ts",778,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"IOSOptimizer","IOSOptimizer.ts",712,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"LoopController","LoopController.ts",916,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MemoryLeakDetector","MemoryLeakDetector.ts",1065,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MIDIAssetOrchestrator","MIDIAssetOrchestrator.ts",947,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MixingConsole","MixingConsole.ts",1153,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MobileOptimizer","MobileOptimizer.ts",2648,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MusicalTimeEngine","MusicalTimeEngine.ts",480,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"N8nPayloadProcessor","N8nPayloadProcessor.ts",304,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"NetworkLatencyMonitor","NetworkLatencyMonitor.ts",488,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PerformanceMonitor","PerformanceMonitor.ts",516,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PerformanceOptimizationEngine","PerformanceOptimizationEngine.ts",461,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PluginLoader","PluginLoader.ts",639,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PluginManager","PluginManager.ts",631,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AssetInstrumentIntegrationProcessor","plugins/AssetInstrumentIntegrationProcessor.ts",449,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"BassInstrumentProcessor","plugins/BassInstrumentProcessor.ts",750,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"BassProcessor","plugins/BassProcessor.ts",945,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ChordInstrumentProcessor-velocity","plugins/ChordInstrumentProcessor-velocity.ts",161,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ChordInstrumentProcessor","plugins/ChordInstrumentProcessor.ts",2912,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ChordTypes","plugins/ChordTypes.ts",81,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"DrumInstrumentProcessor","plugins/DrumInstrumentProcessor.ts",1286,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"DrumProcessor","plugins/DrumProcessor.ts",1088,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"EnhancedChordProcessor","plugins/EnhancedChordProcessor.ts",343,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"EnhancedMetronomeProcessor","plugins/EnhancedMetronomeProcessor.ts",228,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"organ-synthesis","plugins/examples/organ-synthesis.ts",28,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"pad-synthesis","plugins/examples/pad-synthesis.ts",33,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"InstrumentAssetOptimizer","plugins/InstrumentAssetOptimizer.ts",731,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"InstrumentLifecycleManager","plugins/InstrumentLifecycleManager.ts",1041,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"LongPadSampler","plugins/LongPadSampler.ts",305,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MetronomeInstrumentProcessor","plugins/MetronomeInstrumentProcessor.ts",1197,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MidiParserProcessor","plugins/MidiParserProcessor.ts",1342,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MusicalContextAnalyzer","plugins/MusicalContextAnalyzer.ts",815,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MusicalExpressionEngine","plugins/MusicalExpressionEngine.ts",865,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"N8nAssetPipelineProcessor","plugins/N8nAssetPipelineProcessor.ts",995,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PerformanceOptimizer","plugins/PerformanceOptimizer.ts",983,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PerformanceTunerOptimizer","plugins/PerformanceTunerOptimizer.ts",511,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"RhodesVelocitySampler","plugins/RhodesVelocitySampler.ts",366,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"SalamanderVelocitySampler","plugins/SalamanderVelocitySampler.ts",843,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"SyncProcessor","plugins/SyncProcessor.ts",893,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"TheSawSampler","plugins/TheSawSampler.ts",304,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"toneLoader","plugins/toneLoader.ts",25,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"TrackManagerProcessor","plugins/TrackManagerProcessor.ts",1098,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"WurlitzerVelocitySampler","plugins/WurlitzerVelocitySampler.ts",589,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PrecisionSynchronizationEngine","PrecisionSynchronizationEngine.ts",1150,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ProfessionalPlaybackController","ProfessionalPlaybackController.ts",1213,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ErrorHandler","ProfessionalTransportScheduler/managers/ErrorHandler.ts",124,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"EventQueueManager","ProfessionalTransportScheduler/managers/EventQueueManager.ts",106,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MetricsManager","ProfessionalTransportScheduler/managers/MetricsManager.ts",154,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PerformanceOptimizer","ProfessionalTransportScheduler/managers/PerformanceOptimizer.ts",160,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PerformanceReportingManager","ProfessionalTransportScheduler/managers/PerformanceReportingManager.ts",104,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"SchedulingLoop","ProfessionalTransportScheduler/managers/SchedulingLoop.ts",146,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"StrategyManager","ProfessionalTransportScheduler/managers/StrategyManager.ts",68,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ThreadedSchedulingManager","ProfessionalTransportScheduler/managers/ThreadedSchedulingManager.ts",129,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"TransportEventHandler","ProfessionalTransportScheduler/managers/TransportEventHandler.ts",49,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ProfessionalTransportScheduler","ProfessionalTransportScheduler/ProfessionalTransportScheduler.ts",447,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ImmediateSchedulingStrategy","ProfessionalTransportScheduler/strategies/ImmediateSchedulingStrategy.ts",22,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"NextBarSchedulingStrategy","ProfessionalTransportScheduler/strategies/NextBarSchedulingStrategy.ts",25,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"QuantizedSchedulingStrategy","ProfessionalTransportScheduler/strategies/QuantizedSchedulingStrategy.ts",31,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"EventIdGenerator","ProfessionalTransportScheduler/utils/EventIdGenerator.ts",19,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"logger","ProfessionalTransportScheduler/utils/logger.ts",19,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"SchedulingContextFactory","ProfessionalTransportScheduler/utils/SchedulingContextFactory.ts",72,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"TimeUtils","ProfessionalTransportScheduler/utils/TimeUtils.ts",54,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"QualityScaler","QualityScaler.ts",1796,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"QualityTransitionManager","QualityTransitionManager.ts",814,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ResourceManager","ResourceManager.ts",1597,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ResourceUsageMonitor","ResourceUsageMonitor.ts",1087,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"SampleAccurateTimelineMapper","SampleAccurateTimelineMapper.ts",347,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"StatePersistenceManager","StatePersistenceManager.ts",719,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AdaptiveAudioStreamer","storage/AdaptiveAudioStreamer.ts",726,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"SampleAnalyticsEngine","storage/analytics/SampleAnalyticsEngine.ts",978,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AudioSampleManager","storage/AudioSampleManager.ts",1071,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AdvancedCacheManager","storage/cache/AdvancedCacheManager.ts",1119,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"CacheAnalyticsEngine","storage/cache/CacheAnalyticsEngine.ts",933,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"CacheSynchronizationEngine","storage/cache/CacheSynchronizationEngine.ts",1358,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"EvictionPolicyEngine","storage/cache/EvictionPolicyEngine.ts",387,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"IntelligentCacheRouter","storage/cache/IntelligentCacheRouter.ts",1008,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"IntelligentCompressionEngine","storage/cache/IntelligentCompressionEngine.ts",1480,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MemoryManager","storage/cache/MemoryManager.ts",365,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"SampleCacheManager","storage/cache/SampleCacheManager.ts",591,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"UsagePatternAnalyzer","storage/cache/UsagePatternAnalyzer.ts",535,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MetadataAnalyzer","storage/MetadataAnalyzer.ts",1254,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MIDIAnalyticsEngine","storage/MIDIAnalyticsEngine.ts",7,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MIDICollaborationManager","storage/MIDICollaborationManager.ts",7,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MIDIMetadataProcessor","storage/MIDIMetadataProcessor.ts",7,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MIDIRealTimeSync","storage/MIDIRealTimeSync.ts",7,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PredictiveComponents","storage/PredictiveComponents.ts",977,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PredictiveLoadingEngine","storage/PredictiveLoadingEngine.ts",778,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"SupabaseAssetClient","storage/SupabaseAssetClient.ts",3298,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AudioScheduler","ThreadedTransportScheduler/controllers/AudioScheduler.ts",63,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"FallbackController","ThreadedTransportScheduler/controllers/FallbackController.ts",72,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"WorkerController","ThreadedTransportScheduler/controllers/WorkerController.ts",131,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"BrowserCapabilityDetector","ThreadedTransportScheduler/managers/BrowserCapabilityDetector.ts",41,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"EventManager","ThreadedTransportScheduler/managers/EventManager.ts",43,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"MessageManager","ThreadedTransportScheduler/managers/MessageManager.ts",89,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PerformanceMonitor","ThreadedTransportScheduler/managers/PerformanceMonitor.ts",107,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ThreadedTransportScheduler","ThreadedTransportScheduler/ThreadedTransportScheduler.ts",307,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"logger","ThreadedTransportScheduler/utils/logger.ts",19,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ToneInstanceManager","ToneInstanceManager.ts",96,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ToneProvider","ToneProvider.ts",63,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"TranspositionController","TranspositionController.ts",831,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PauseTransportCommand","UnifiedTransportController/commands/PauseTransportCommand.ts",25,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"StartTransportCommand","UnifiedTransportController/commands/StartTransportCommand.ts",121,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"StopTransportCommand","UnifiedTransportController/commands/StopTransportCommand.ts",42,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ProfessionalSchedulerIntegration","UnifiedTransportController/integrations/ProfessionalSchedulerIntegration.ts",125,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ExerciseManager","UnifiedTransportController/managers/ExerciseManager.ts",63,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"HeartbeatManager","UnifiedTransportController/managers/HeartbeatManager.ts",92,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ObserverManager","UnifiedTransportController/managers/ObserverManager.ts",86,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PerformanceTracker","UnifiedTransportController/managers/PerformanceTracker.ts",51,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"PositionTracker","UnifiedTransportController/managers/PositionTracker.ts",159,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"UnifiedTransportController","UnifiedTransportController/UnifiedTransportController.ts",347,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"WorkerPoolManager","WorkerPoolManager.ts",743,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
